Hashtag,Count,Event
DPRK,19045,Rescheduled
NorthKorea,2794,Rescheduled
BREAKING,1130,Rescheduled
Trump,993,Rescheduled
AmericaFirst,515,Rescheduled
QuoteOfTheDay,475,Rescheduled
Lavrov,467,Rescheduled
US,397,Rescheduled
