Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol,Event
2018-06-01,23.42,23.44,23.33,23.44,23.07,2300,EUXL,Rescheduled
2018-05-25,25.25,25.25,25.25,25.25,24.86,-,EUXL,Rescheduled
2018-05-29,22.45,22.7,21.45,21.78,21.44,9500,EUXL,Rescheduled
2018-05-30,22.90,23.3,22.6,23.17,22.81,8000,EUXL,Rescheduled
2018-05-31,22.63,22.79,22.5,22.79,22.43,9300,EUXL,Rescheduled
