Date,Open,High,Low,Close,Volume,Symbol,Source,Event
2018-05-15,46.5100,46.9853,46.2700,46.7900,"7,149,574",BP,IEX,Coordination
2018-05-15,248.8226,248.9224,245.6011,246.6883,"1,638,203",FDX,IEX,Coordination
2018-05-15,54.5800,54.7500,53.5600,53.9200,"21,712,649",INTC,IEX,Coordination
2018-05-15,96.8203,97.4277,95.9242,96.9000,"24,594,010",MSFT,IEX,Coordination
2018-05-15,46.5100,46.8200,46.2500,46.8100,"11,304,873",ORCL,IEX,Coordination
2018-05-15,114.8763,115.5610,113.9536,114.7077,"3,480,370",UPS,IEX,Coordination
2018-05-15,81.8500,82.0300,81.4000,81.7900,"12,595,736",XOM,IEX,Coordination
2018-05-16,46.8000,46.8200,46.4300,46.7100,"4,866,498",BP,IEX,Coordination
2018-05-16,247.1271,248.0627,245.8904,246.4688,"1,101,189",FDX,IEX,Coordination
2018-05-16,54.1700,54.7000,53.9550,54.6400,"16,260,459",INTC,IEX,Coordination
2018-05-16,97.3600,97.4000,96.6150,97.1500,"17,384,742",MSFT,IEX,Coordination
2018-05-16,46.9300,46.9300,46.4500,46.7300,"9,874,195",ORCL,IEX,Coordination
2018-05-16,114.6382,115.7544,114.6283,115.4121,"1,970,011",UPS,IEX,Coordination
2018-05-16,81.7600,82.0450,81.1700,82.0200,"9,569,958",XOM,IEX,Coordination
2018-05-17,47.0100,47.3700,46.9331,47.1900,"7,207,915",BP,IEX,Coordination
2018-05-17,247.0373,249.5706,246.6287,247.8053,"1,083,981",FDX,IEX,Coordination
2018-05-17,54.5500,55.4400,54.4200,54.8100,"16,872,598",INTC,IEX,Coordination
2018-05-17,96.7600,97.5401,95.8300,96.1800,"17,246,716",MSFT,IEX,Coordination
2018-05-17,46.6900,47.0550,46.4200,46.5400,"10,162,341",ORCL,IEX,Coordination
2018-05-17,115.6800,116.5234,115.4915,115.6800,"3,697,242",UPS,IEX,Coordination
2018-05-17,82.2000,82.2800,81.4400,81.8800,"11,224,123",XOM,IEX,Coordination
2018-05-18,47.3000,47.4350,47.1442,47.3800,"4,276,638",BP,IEX,Coordination
2018-05-18,247.2268,249.0720,246.0599,248.7927,"1,195,706",FDX,IEX,Coordination
2018-05-18,54.5300,54.5400,53.4700,53.5000,"23,679,944",INTC,IEX,Coordination
2018-05-18,96.0100,96.9300,96.0100,96.3600,"17,865,840",MSFT,IEX,Coordination
2018-05-18,46.6900,46.7900,46.2400,46.3200,"13,517,330",ORCL,IEX,Coordination
2018-05-18,115.6700,115.9300,115.1000,115.3800,"2,450,899",UPS,IEX,Coordination
2018-05-18,81.5500,81.8000,81.2600,81.3000,"10,030,931",XOM,IEX,Coordination
2018-05-21,47.3800,47.8300,47.3800,47.7900,"5,412,095",BP,IEX,Coordination
2018-05-21,250.3386,254.2682,250.0195,253.9890,"1,384,222",FDX,IEX,Coordination
2018-05-21,54.3600,55.2200,53.8600,54.3200,"25,367,377",INTC,IEX,Coordination
2018-05-21,97.0000,98.0100,96.8000,97.6000,"19,422,467",MSFT,IEX,Coordination
2018-05-21,46.5300,47.2850,46.4900,47.2100,"13,416,333",ORCL,IEX,Coordination
2018-05-21,116.0000,117.2800,115.5000,117.0800,"3,333,298",UPS,IEX,Coordination
2018-05-21,81.7300,82.3500,81.5200,82.2800,"8,822,364",XOM,IEX,Coordination
2018-05-22,47.3700,47.7050,46.9300,47.0900,"7,979,923",BP,IEX,Coordination
2018-05-22,254.4777,255.6247,251.6851,251.9244,"1,011,323",FDX,IEX,Coordination
2018-05-22,54.7300,55.0500,54.0500,54.4500,"19,009,588",INTC,IEX,Coordination
2018-05-22,97.6800,98.1700,97.2000,97.5000,"15,441,189",MSFT,IEX,Coordination
2018-05-22,47.2400,47.5400,46.3100,46.3700,"18,505,113",ORCL,IEX,Coordination
2018-05-22,117.0100,117.1400,115.2900,115.3600,"2,027,096",UPS,IEX,Coordination
2018-05-22,82.4400,82.6500,81.3500,81.6400,"10,753,428",XOM,IEX,Coordination
2018-05-23,46.1300,46.5100,45.9000,46.4500,"7,871,671",BP,IEX,Coordination
2018-05-23,251.3559,251.3559,247.9649,249.8100,"1,106,812",FDX,IEX,Coordination
2018-05-23,54.0000,55.2300,53.8400,55.2100,"20,555,425",INTC,IEX,Coordination
2018-05-23,96.7100,98.7300,96.3200,98.6600,"21,251,222",MSFT,IEX,Coordination
2018-05-23,46.0800,46.9700,46.0200,46.9000,"9,204,379",ORCL,IEX,Coordination
2018-05-23,114.8500,115.4200,113.7800,115.2800,"2,013,573",UPS,IEX,Coordination
2018-05-23,80.9500,82.2300,80.5700,82.1500,"15,140,896",XOM,IEX,Coordination
2018-05-24,45.6700,45.9400,45.4000,45.7500,"7,917,840",BP,IEX,Cancelled
2018-05-24,249.5208,251.3460,247.8452,251.0767,"1,496,280",FDX,IEX,Cancelled
2018-05-24,55.1800,55.3000,54.1300,54.7500,"19,667,095",INTC,IEX,Cancelled
2018-05-24,98.7250,98.9400,96.8100,98.3100,"26,649,287",MSFT,IEX,Cancelled
2018-05-24,46.6600,46.9400,46.1400,46.4600,"12,497,658",ORCL,IEX,Cancelled
2018-05-24,115.3800,115.8100,114.4100,115.6300,"2,303,415",UPS,IEX,Cancelled
2018-05-24,81.3500,81.3600,79.9500,80.2700,"13,360,454",XOM,IEX,Cancelled
2018-05-25,44.8200,44.8300,44.0900,44.3500,"9,171,285",BP,IEX,Rescheduled
2018-05-25,250.1990,252.5129,250.1990,250.8373,"841,197",FDX,IEX,Rescheduled
2018-05-25,54.8000,55.5000,54.5400,55.4400,"18,549,989",INTC,IEX,Rescheduled
2018-05-25,98.3000,98.9800,97.8600,98.3600,"18,363,918",MSFT,IEX,Rescheduled
2018-05-25,46.4900,47.1650,46.4800,47.0000,"11,354,337",ORCL,IEX,Rescheduled
2018-05-25,115.4900,115.9000,115.2000,115.4900,"1,583,600",UPS,IEX,Rescheduled
2018-05-25,79.2800,79.3300,78.0900,78.7100,"14,561,988",XOM,IEX,Rescheduled
2018-05-29,44.1900,44.6800,44.0600,44.5400,"7,449,743",BP,IEX,Rescheduled
2018-05-29,249.5706,250.7974,245.6610,246.9575,"1,159,706",FDX,IEX,Rescheduled
2018-05-29,55.1200,55.8100,54.8100,55.3200,"24,253,509",INTC,IEX,Rescheduled
2018-05-29,97.8400,98.8800,97.2300,98.0100,"28,670,981",MSFT,IEX,Rescheduled
2018-05-29,46.5500,46.8000,46.0350,46.2600,"12,427,752",ORCL,IEX,Rescheduled
2018-05-29,114.8700,114.9450,113.0100,113.8300,"2,724,133",UPS,IEX,Rescheduled
2018-05-29,78.1500,78.7300,77.5300,78.4200,"14,644,813",XOM,IEX,Rescheduled
2018-05-30,45.4700,45.8950,45.2400,45.7100,"7,819,659",BP,IEX,Rescheduled
2018-05-30,248.0746,253.5202,247.9449,252.4131,"1,201,849",FDX,IEX,Rescheduled
2018-05-30,55.8900,56.2000,55.6150,55.6800,"24,711,519",INTC,IEX,Rescheduled
2018-05-30,98.3100,99.2500,97.9100,98.9500,"22,158,528",MSFT,IEX,Rescheduled
2018-05-30,46.6300,47.2300,46.4300,47.0500,"11,906,539",ORCL,IEX,Rescheduled
2018-05-30,114.1200,116.7450,113.9100,116.6900,"2,911,664",UPS,IEX,Rescheduled
2018-05-30,79.2500,81.6600,79.2200,81.5000,"16,627,467",XOM,IEX,Rescheduled
2018-05-31,45.8400,45.9950,45.5850,45.8200,"5,887,272",BP,IEX,Rescheduled
2018-05-31,252.8819,252.8819,248.1444,248.4636,"1,300,923",FDX,IEX,Rescheduled
2018-05-31,55.6700,55.8600,55.0600,55.2000,"30,962,105",INTC,IEX,Rescheduled
2018-05-31,99.2900,99.9900,98.6100,98.8400,"34,140,891",MSFT,IEX,Rescheduled
2018-05-31,46.9300,47.1700,46.7100,46.7200,"13,062,416",ORCL,IEX,Rescheduled
2018-05-31,116.4600,116.8300,115.9100,116.1200,"5,892,979",UPS,IEX,Rescheduled
2018-05-31,80.8100,81.5500,80.6900,81.2400,"15,803,095",XOM,IEX,Rescheduled
2018-06-01,46.1700,46.2100,45.8000,45.9200,"4,845,996",BP,IEX,Rescheduled
2018-06-01,250.9071,254.1286,250.4384,252.9318,"1,174,549",FDX,IEX,Rescheduled
2018-06-01,55.8400,57.1000,55.8000,57.0800,"31,183,166",INTC,IEX,Rescheduled
2018-06-01,99.2798,100.8600,99.1700,100.7900,"28,655,624",MSFT,IEX,Rescheduled
2018-06-01,47.0800,47.3600,46.9000,47.3500,"10,863,237",ORCL,IEX,Rescheduled
2018-06-01,116.6900,117.2900,116.3200,117.2500,"2,237,794",UPS,IEX,Rescheduled
2018-06-01,81.8700,82.3500,81.5500,81.8300,"9,906,117",XOM,IEX,Rescheduled
2018-06-04,46.3200,46.4500,45.9150,45.9600,"5,061,709",BP,IEX,Awaiting
2018-06-04,254.0388,255.8240,250.9769,251.2163,"919,305",FDX,IEX,Awaiting
2018-06-04,57.0100,57.5995,56.7750,56.8300,"22,538,053",INTC,IEX,Awaiting
2018-06-04,101.2600,101.8600,100.8510,101.6700,"27,281,623",MSFT,IEX,Awaiting
2018-06-04,47.4800,47.5700,47.2300,47.3200,"12,178,443",ORCL,IEX,Awaiting
2018-06-04,117.6100,118.2700,116.9200,116.9700,"2,248,463",UPS,IEX,Awaiting
2018-06-04,82.0500,82.5300,80.8050,80.9700,"10,954,709",XOM,IEX,Awaiting
2018-06-05,46.0000,46.5000,45.8450,46.2900,"5,542,413",BP,IEX,Awaiting
2018-06-05,250.8971,252.0840,249.0919,251.3360,"953,946",FDX,IEX,Awaiting
2018-06-05,56.9000,57.1200,56.2150,56.5300,"21,687,019",INTC,IEX,Awaiting
2018-06-05,102.0000,102.3300,101.5300,102.1900,"23,514,402",MSFT,IEX,Awaiting
2018-06-05,47.3300,47.4200,46.8050,47.1300,"13,430,887",ORCL,IEX,Awaiting
2018-06-05,116.8000,117.7800,116.5500,116.8100,"3,340,955",UPS,IEX,Awaiting
2018-06-05,80.5900,81.6500,80.4100,80.6800,"12,059,328",XOM,IEX,Awaiting
2018-06-06,46.4400,46.5500,46.1200,46.2800,"5,351,446",BP,IEX,Awaiting
2018-06-06,253.2609,256.0635,250.8473,255.8740,"1,096,295",FDX,IEX,Awaiting
2018-06-06,56.5300,57.0600,56.0800,57.0300,"22,955,355",INTC,IEX,Awaiting
2018-06-06,102.4800,102.6000,101.9000,102.4900,"21,122,917",MSFT,IEX,Awaiting
2018-06-06,47.4200,47.8050,47.1000,47.7500,"13,299,094",ORCL,IEX,Awaiting
2018-06-06,117.0000,117.5100,115.9000,117.0200,"2,783,746",UPS,IEX,Awaiting
2018-06-06,81.4800,82.0900,80.8700,82.0600,"11,603,278",XOM,IEX,Awaiting
2018-06-07,46.9700,47.5700,46.7850,47.2000,"10,502,384",BP,IEX,Awaiting
2018-06-07,256.6220,259.9333,254.3031,256.5721,"1,758,740",FDX,IEX,Awaiting
2018-06-07,56.9200,57.0000,55.6200,55.8800,"27,596,110",INTC,IEX,Awaiting
2018-06-07,102.6500,102.6900,100.3800,100.8800,"28,232,197",MSFT,IEX,Awaiting
2018-06-07,47.9300,48.0300,47.4200,47.6800,"13,714,092",ORCL,IEX,Awaiting
2018-06-07,117.1700,117.3400,115.8000,116.1900,"3,106,423",UPS,IEX,Awaiting
2018-06-07,82.7300,83.2900,82.5600,82.8800,"13,502,457",XOM,IEX,Awaiting
2018-06-08,47.3100,47.3901,46.6700,47.0400,"4,750,234",BP,IEX,Awaiting
2018-06-08,256.2929,259.7238,256.0735,259.4645,"1,221,783",FDX,IEX,Awaiting
2018-06-08,55.5600,55.7000,54.6600,55.0500,"30,822,854",INTC,IEX,Awaiting
2018-06-08,101.0924,101.9500,100.5400,101.6300,"22,165,128",MSFT,IEX,Awaiting
2018-06-08,47.4100,48.3800,47.4100,48.1800,"14,515,405",ORCL,IEX,Awaiting
2018-06-08,116.1500,116.6500,115.7400,116.6000,"2,879,849",UPS,IEX,Awaiting
2018-06-08,83.1100,83.6600,82.5000,83.6000,"14,350,376",XOM,IEX,Awaiting
2018-06-11,46.9600,47.3200,46.8300,47.1200,"3,719,609",BP,IEX,Awaiting
2018-06-11,259.4545,262.7259,259.4545,261.2797,"1,424,278",FDX,IEX,Awaiting
2018-06-11,54.8000,55.0900,54.2600,54.5200,"25,752,361",INTC,IEX,Awaiting
2018-06-11,101.3700,101.5900,100.6700,101.0500,"23,490,894",MSFT,IEX,Awaiting
2018-06-11,48.1500,48.3900,47.9700,48.1900,"12,521,110",ORCL,IEX,Awaiting
2018-06-11,116.6000,117.7500,116.5600,116.8500,"2,004,717",UPS,IEX,Awaiting
2018-06-11,83.7200,83.7900,82.9300,83.1000,"10,831,599",XOM,IEX,Awaiting
2018-06-12,46.7100,46.7799,45.8100,46.1200,"11,124,660",BP,IEX,Summit
2018-06-12,262.8954,265.9673,262.4965,264.8303,"1,782,413",FDX,IEX,Summit
2018-06-12,54.8700,55.0300,54.2200,54.8200,"23,294,943",INTC,IEX,Summit
2018-06-12,101.1000,101.4493,100.7500,101.3100,"18,325,228",MSFT,IEX,Summit
2018-06-12,48.2100,48.5900,48.1550,48.4500,"14,713,577",ORCL,IEX,Summit
2018-06-12,117.6100,119.1700,117.3200,118.3400,"3,414,619",UPS,IEX,Summit
2018-06-12,83.1100,83.7500,82.3200,82.4200,"12,351,787",XOM,IEX,Summit
2018-06-13,45.9900,46.2150,45.7950,46.0100,"8,156,289",BP,IEX,Aftermath
2018-06-13,265.2692,265.3290,261.6487,262.2272,"1,147,804",FDX,IEX,Aftermath
2018-06-13,54.9800,55.7000,54.9100,55.0300,"22,631,436",INTC,IEX,Aftermath
2018-06-13,101.7200,102.0100,100.5600,100.8500,"29,492,875",MSFT,IEX,Aftermath
2018-06-13,48.1100,48.6700,48.0900,48.2700,"18,053,335",ORCL,IEX,Aftermath
2018-06-13,118.4900,118.6000,117.1100,117.3300,"1,668,429",UPS,IEX,Aftermath
2018-06-13,82.4400,82.6000,81.4700,81.5100,"12,049,278",XOM,IEX,Aftermath
2018-06-14,46.5100,46.9100,46.3385,46.4400,"5,635,414",BP,IEX,Aftermath
2018-06-14,263.3044,263.3841,260.6713,262.7857,"1,015,600",FDX,IEX,Aftermath
2018-06-14,55.4500,55.8600,55.1800,55.5400,"23,419,829",INTC,IEX,Aftermath
2018-06-14,101.6500,102.0300,101.0000,101.4200,"25,691,811",MSFT,IEX,Aftermath
2018-06-14,47.0100,47.0200,45.6600,45.9000,"37,001,333",ORCL,IEX,Aftermath
2018-06-14,117.4400,117.7300,116.5500,117.1900,"1,869,327",UPS,IEX,Aftermath
2018-06-14,81.9400,82.2999,81.5000,81.8900,"11,477,252",XOM,IEX,Aftermath
2018-06-15,45.9100,45.9950,45.0250,45.1300,"7,556,375",BP,IEX,Aftermath
2018-06-15,261.8183,264.2918,260.1561,263.8629,"1,363,654",FDX,IEX,Aftermath
2018-06-15,55.1700,55.3800,54.5800,55.1100,"39,194,688",INTC,IEX,Aftermath
2018-06-15,101.5100,101.5300,100.0700,100.1300,"65,738,585",MSFT,IEX,Aftermath
2018-06-15,45.8700,46.4900,45.1900,46.2800,"28,120,363",ORCL,IEX,Aftermath
2018-06-15,116.6100,117.3600,116.0500,116.7700,"4,286,897",UPS,IEX,Aftermath
2018-06-15,81.7200,81.8200,80.5100,80.6600,"23,797,456",XOM,IEX,Aftermath
2018-06-18,45.0300,45.5800,45.0200,45.3500,"5,183,094",BP,IEX,Aftermath
2018-06-18,262.3968,263.9526,260.8907,262.9752,"1,399,768",FDX,IEX,Aftermath
