Date,Open,High,Low,Close,Volume,Symbol,Source,Event
2018-05-15,46.5100,46.9900,46.2700,46.7900,"7,149,600",BP,Yahoo!,Coordination
2018-05-15,249.4800,249.5800,246.2500,247.3400,"1,638,200",FDX,Yahoo!,Coordination
2018-05-15,54.5800,54.7500,53.5600,53.9200,"21,712,600",INTC,Yahoo!,Coordination
2018-05-15,97.2400,97.8500,96.3400,97.3200,"24,594,000",MSFT,Yahoo!,Coordination
2018-05-15,46.5100,46.8200,46.2500,46.8100,"11,304,900",ORCL,Yahoo!,Coordination
2018-05-15,115.7800,116.4700,114.8500,115.6100,"3,480,400",UPS,Yahoo!,Coordination
2018-05-15,81.8500,82.0300,81.4000,81.7900,"12,595,700",XOM,Yahoo!,Coordination
2018-05-16,46.8000,46.8200,46.4300,46.7100,"4,866,500",BP,Yahoo!,Coordination
2018-05-16,247.7800,248.7200,246.5400,247.1200,"1,101,200",FDX,Yahoo!,Coordination
2018-05-16,54.1700,54.7000,53.9600,54.6400,"16,260,500",INTC,Yahoo!,Coordination
2018-05-16,97.3600,97.4000,96.6200,97.1500,"17,384,700",MSFT,Yahoo!,Coordination
2018-05-16,46.9300,46.9300,46.4500,46.7300,"9,874,200",ORCL,Yahoo!,Coordination
2018-05-16,115.5400,116.6700,115.5300,116.3200,"1,970,000",UPS,Yahoo!,Coordination
2018-05-16,81.7600,82.0500,81.1700,82.0200,"9,570,000",XOM,Yahoo!,Coordination
2018-05-17,47.0100,47.3700,46.9300,47.1900,"7,207,900",BP,Yahoo!,Coordination
2018-05-17,247.6900,250.2300,247.2800,248.4600,"1,084,000",FDX,Yahoo!,Coordination
2018-05-17,54.5500,55.4400,54.4200,54.8100,"16,872,600",INTC,Yahoo!,Coordination
2018-05-17,96.7600,97.5400,95.8300,96.1800,"17,246,700",MSFT,Yahoo!,Coordination
2018-05-17,46.6900,47.0600,46.4200,46.5400,"10,162,300",ORCL,Yahoo!,Coordination
2018-05-17,116.5900,117.4400,116.4000,116.5900,"3,697,200",UPS,Yahoo!,Coordination
2018-05-17,82.2000,82.2800,81.4400,81.8800,"11,224,100",XOM,Yahoo!,Coordination
2018-05-18,47.3000,47.4400,47.1400,47.3800,"4,276,600",BP,Yahoo!,Coordination
2018-05-18,247.8800,249.7300,246.7100,249.4500,"1,195,700",FDX,Yahoo!,Coordination
2018-05-18,54.5300,54.5400,53.4700,53.5000,"23,679,900",INTC,Yahoo!,Coordination
2018-05-18,96.0100,96.9300,96.0100,96.3600,"17,865,800",MSFT,Yahoo!,Coordination
2018-05-18,46.6900,46.7900,46.2400,46.3200,"13,517,300",ORCL,Yahoo!,Coordination
2018-05-18,115.6700,115.9300,115.1000,115.3800,"2,450,900",UPS,Yahoo!,Coordination
2018-05-18,81.5500,81.8000,81.2600,81.3000,"10,030,900",XOM,Yahoo!,Coordination
2018-05-21,47.3800,47.8300,47.3800,47.7900,"5,412,100",BP,Yahoo!,Coordination
2018-05-21,251.0000,254.9400,250.6800,254.6600,"1,384,200",FDX,Yahoo!,Coordination
2018-05-21,54.3600,55.2200,53.8600,54.3200,"25,367,400",INTC,Yahoo!,Coordination
2018-05-21,97.0000,98.0100,96.8000,97.6000,"19,422,500",MSFT,Yahoo!,Coordination
2018-05-21,46.5300,47.2900,46.4900,47.2100,"13,416,300",ORCL,Yahoo!,Coordination
2018-05-21,116.0000,117.2800,115.5000,117.0800,"3,333,300",UPS,Yahoo!,Coordination
2018-05-21,81.7300,82.3500,81.5200,82.2800,"8,822,400",XOM,Yahoo!,Coordination
2018-05-22,47.3700,47.7100,46.9300,47.0900,"7,979,900",BP,Yahoo!,Coordination
2018-05-22,255.1500,256.3000,252.3500,252.5900,"1,011,300",FDX,Yahoo!,Coordination
2018-05-22,54.7300,55.0500,54.0500,54.4500,"19,009,600",INTC,Yahoo!,Coordination
2018-05-22,97.6800,98.1700,97.2000,97.5000,"15,441,200",MSFT,Yahoo!,Coordination
2018-05-22,47.2400,47.5400,46.3100,46.3700,"18,505,100",ORCL,Yahoo!,Coordination
2018-05-22,117.0100,117.1400,115.2900,115.3600,"2,027,100",UPS,Yahoo!,Coordination
2018-05-22,82.4400,82.6500,81.3500,81.6400,"10,753,400",XOM,Yahoo!,Coordination
2018-05-23,46.1300,46.5100,45.9000,46.4500,"7,839,900",BP,Yahoo!,Coordination
2018-05-23,252.0200,252.0200,248.6200,250.4700,"1,095,500",FDX,Yahoo!,Coordination
2018-05-23,54.0000,55.2300,53.8400,55.2100,"20,496,500",INTC,Yahoo!,Coordination
2018-05-23,96.7100,98.7300,96.3200,98.6600,"21,114,800",MSFT,Yahoo!,Coordination
2018-05-23,46.0800,46.9700,46.0200,46.9000,"8,921,500",ORCL,Yahoo!,Coordination
2018-05-23,114.8500,115.4200,113.7800,115.2800,"1,974,000",UPS,Yahoo!,Coordination
2018-05-23,80.9500,82.2300,80.5700,82.1500,"15,140,900",XOM,Yahoo!,Coordination
2018-05-24,45.6700,45.9400,45.4000,45.7500,"7,729,200",BP,Yahoo!,Cancelled
2018-05-24,250.1800,252.0100,248.5000,251.7400,"1,399,400",FDX,Yahoo!,Cancelled
2018-05-24,55.1800,55.3000,54.1300,54.7500,"19,443,000",INTC,Yahoo!,Cancelled
2018-05-24,98.7300,98.9400,96.8100,98.3100,"21,540,800",MSFT,Yahoo!,Cancelled
2018-05-24,46.6600,46.9400,46.1400,46.4600,"12,496,400",ORCL,Yahoo!,Cancelled
2018-05-24,115.3800,115.8100,114.4100,115.6300,"2,297,300",UPS,Yahoo!,Cancelled
2018-05-24,81.3500,81.3600,79.9500,80.2700,"13,360,500",XOM,Yahoo!,Cancelled
2018-05-25,44.8200,44.8300,44.0900,44.3500,"9,171,300",BP,Yahoo!,Rescheduled
2018-05-25,250.8600,253.1800,250.8600,251.5000,"841,200",FDX,Yahoo!,Rescheduled
2018-05-25,54.8000,55.5000,54.5400,55.4400,"18,550,000",INTC,Yahoo!,Rescheduled
2018-05-25,98.3000,98.9800,97.8600,98.3600,"18,363,900",MSFT,Yahoo!,Rescheduled
2018-05-25,46.4900,47.1700,46.4800,47.0000,"11,354,300",ORCL,Yahoo!,Rescheduled
