,query,timestamp,quote,from,to,US_equiv
96,USDMNT,1529957891,2452.999994,USD,MNT,0.0004076640857912697
97,USDMOP,1529957891,8.082801,USD,MOP,0.12371948783596182
98,USDMRO,1529957891,355.000431,USD,MRO,0.0028168979884984984
99,USDMUR,1529957891,34.610001,USD,MUR,0.02889338258037034
100,USDMVR,1529957891,15.57031,USD,MVR,0.06422479706569748
101,USDMWK,1529957891,713.450012,USD,MWK,0.0014016398951297515
102,USDMXN,1529957891,19.893599,USD,MXN,0.05026742521551782
103,USDMYR,1529957891,4.015996,USD,MYR,0.24900423207592834
104,USDMZN,1529957891,58.720001,USD,MZN,0.01702997246202363
105,USDNAD,1529957891,13.552002,USD,NAD,0.07378983562723795
106,USDNGN,1529957891,359.000499,USD,NGN,0.002785511448550939
107,USDNIO,1529957891,31.209999,USD,NIO,0.03204101352262139
108,USDNOK,1529957891,8.11215,USD,NOK,0.12327188230000678
109,USDNPR,1529957891,108.239998,USD,NPR,0.009238728921632093
110,USDNZD,1529957891,1.449498,USD,NZD,0.6898940184808809
111,USDOMR,1529957891,0.384804,USD,OMR,2.5987255849731294
112,USDPAB,1529957891,1.0,USD,PAB,1.0
113,USDPEN,1529957891,3.267981,USD,PEN,0.3059993310854623
114,USDPGK,1529957891,3.241503,USD,PGK,0.3084988661124176
115,USDPHP,1529957891,53.439999,USD,PHP,0.018712575200459866
116,USDPKR,1529957891,121.459999,USD,PKR,0.00823316324907923
117,USDPLN,1529957891,3.712697,USD,PLN,0.26934597679261196
118,USDPYG,1529957891,5683.100098,USD,PYG,0.00017596030032128427
119,USDQAR,1529957891,3.641298,USD,QAR,0.27462734442498254
120,USDRON,1529957891,3.987298,USD,RON,0.2507964039808412
121,USDRSD,1529957891,101.354401,USD,RSD,0.009866369788915235
122,USDRUB,1529957891,62.768002,USD,RUB,0.01593168442736157
123,USDRWF,1529957891,849.429993,USD,RWF,0.0011772600546729223
124,USDSAR,1529957891,3.750096,USD,SAR,0.2666598401747582
125,USDSBD,1529957891,7.877699,USD,SBD,0.12694062060507771
126,USDSCR,1529957891,13.430237,USD,SCR,0.07445884983265746
127,USDSDG,1529957891,17.955198,USD,SDG,0.0556941783655073
128,USDSEK,1529957891,8.85134,USD,SEK,0.11297724412348864
129,USDSGD,1529957891,1.36201,USD,SGD,0.7342089999339212
130,USDSHP,1529957891,0.7529,USD,SHP,1.3281976358082082
131,USDSLL,1529957891,7980.000123,USD,SLL,0.00012531328127649954
132,USDSOS,1529957891,572.000004,USD,SOS,0.0017482517360262117
133,USDSRD,1529957891,7.43006,USD,SRD,0.13458841516757603
134,USDSTD,1529957891,20940.199219,USD,STD,4.775503754962629e-05
135,USDSVC,1529957891,8.750359,USD,SVC,0.1142810254984967
136,USDSYP,1529957891,514.97998,USD,SYP,0.0019418230588303647
137,USDSZL,1529957891,13.55803,USD,SZL,0.07375702812281724
138,USDTHB,1529957891,32.942001,USD,THB,0.03035638302603415
139,USDTJS,1529957891,9.129018,USD,TJS,0.10954080712733834
140,USDTMT,1529957891,3.4,USD,TMT,0.29411764705882354
141,USDTND,1529957891,2.594202,USD,TND,0.38547499385167383
142,USDTOP,1529957891,2.306972,USD,TOP,0.43346863334275404
143,USDTRY,1529957891,4.689399,USD,TRY,0.2132469427318938
144,USDTTD,1529957891,6.649502,USD,TTD,0.15038720192880609
145,USDTWD,1529957891,30.363001,USD,TWD,0.03293482090258469
146,USDTZS,1529957891,2267.999948,USD,TZS,0.00044091711769298506
147,USDUAH,1529957891,26.150143,USD,UAH,0.03824070866457595
148,USDUGX,1529957891,3867.000556,USD,UGX,0.0002585983595084852
149,USDUSD,1529957891,1.0,USD,USD,1.0
150,USDUYU,1529957891,31.420182,USD,UYU,0.0318266775157445
151,USDUZS,1529957891,7869.999978,USD,UZS,0.00012706480340475549
152,USDVEF,1529957891,95759.999943,USD,VEF,1.0442773606884274e-05
153,USDVND,1529957891,22894.0,USD,VND,4.367956669869835e-05
154,USDVUV,1529957891,107.949997,USD,VUV,0.009263548196300552
